Company Name,Sector,Profits in USD,AI Benefits,Ticker,Profit 2022,Profit 2024
Pure Storage,Technology,9094052,"Storage optimization, predictive analytics",PSTG,-143259000.0,73071000.0
VENTISOL,Construction,878144,"Project planning, predictive analytics",NOT FOUND,,
YellowTelescope,Technology  ,299807,"Data analytics, predictive analytics  ",NOT FOUND,,
AltexSoft,Technology,8260286,"Process automation, predictive analytics",NOT FOUND,,
Synergy Medical,Healthcare  ,198490,"Patient care optimization, precision medicine",AMEH,,
Results Repeat,Consulting  ,439106,"Data analytics, process optimization",NOT FOUND,,
MASSIE R&D Tax Credits,Financial Services,775717,"Tax credit optimization, process automation  ",ETB,-60836031.0,65348120.0
Fab Glass and Mirror,Manufacturing  ,556142,"Demand forecasting, predictive maintenance",AIV,75726000.0,-166196000.0
Wildcat Lending,Financial Services,304198,"Loan underwriting automation, fraud detection  ",CLDC,,
Aivo,Technology  ,548947,"Customer service chatbot, predictive analytics",NOT FOUND,,
Oasys International,Technology  ,927472,"Executive search optimization, predictive analytics",AIG,10227000000.0,3643000000.0
Erwin Castro Salgado,Consulting,154636,"Data analytics, process optimization",NOT FOUND,,
Red Oak Compliance Solutions,Consulting,295910,Regulatory compliance automation,BR,539100000.0,630600000.0
Explorer Research,Consulting  ,528853,"Data analytics, predictive analytics",ACTG,-125065000.0,67060000.0
What If Media Group,Advertising,247092,"Ad targeting, campaign optimization",AEY,,
7Summits**,Technology  ,666042,"Customer analytics, engagement optimization",NOT FOUND,,
FE International,Financial Services  ,689526,"Business valuation, investment analytics",AIG,10227000000.0,3643000000.0
Reputation,Advertising Tech,939859,"Review analysis, reputation management",NOT FOUND,,
Mursion,Consulting  ,846740,"Training optimization, predictive analytics",NOT FOUND,,
INRY,Construction,910280,"Project planning, predictive analytics  ",NOT FOUND,,
Brookstone Windows & Doors,Manufacturing,911919,"Demand forecasting, predictive maintenance",NOT FOUND,,
College Hunks of Tampa,Consulting  ,633198,"Process optimization, predictive analytics",ACH,,
Buhler Commercial,Construction  ,868830,"Project planning, predictive analytics",ACRE,29785000.0,-38867000.0
CommunicateHealth,Healthcare Tech,267785,"Content generation, engagement optimization  ",NOT FOUND,,
P3 Pacific Packaging Products*,Manufacturing  ,212288,"Predictive maintenance, quality control automation",APWC,3874000.0,3867000.0
Ziggi's Coffee,Restaurants  ,985307,"Demand forecasting, customer analytics",ABEV,14457900000.0,14501900000.0
JA Saúde Animal,Healthcare  ,838529,Veterinary diagnostics optimization  ,ELAN,-78000000.0,-1231000000.0
CIVE®,Construction,309529,"Project planning, predictive analytics",CVEO,3997000.0,30157000.0
Anatomie,Apparel  ,295353,"Demand forecasting, inventory optimization",NOT FOUND,,
Lightspeed POS,Technology,6117662,"Inventory management, sales analytics",NOT FOUND,,
Trinity Packaging Supply,Manufacturing  ,469259,"Demand forecasting, predictive maintenance",NOT FOUND,,
B9Creations,Manufacturing  ,433948,"3D printing optimization, predictive maintenance",NOT FOUND,,
DB1 Group,Consulting,783729,"Data analytics, process optimization  ",AAL,127000000.0,822000000.0
PURE COLOMBIA,Consulting,987884,"Data analytics, process optimization  ",BCM,,
DFH,Real Estate  ,321269,"Property valuation, investment optimization  ",NOT FOUND,,
COLOR 1,Advertising,871301,"Ad targeting, campaign optimization",AGF,,
Boost Payment Solutions,Financial Services  ,715260,"Fraud detection, transaction analytics",BFAM,80641000.0,74223000.0
Curate Mobile,Consulting,551503,"Data analytics, process optimization",CHL,,
Apptopia,Technology  ,385860,"App analytics, market analysis",NOT FOUND,,
TTI,Manufacturing  ,604045,"Predictive maintenance, process optimization",ATIS,,
Square,Financial Services,391235,"Payment processing optimization, fraud detection",BSQR,,
Darkblade Systems,Technology  ,731535,"Cybersecurity enhancement, predictive analytics",ADS,,
Pluribus Networks,Technology,7689135,"Network optimization, predictive analytics",GILT,-5928000.0,23504000.0
TapResearch,Technology  ,899351,"Survey analysis, predictive analytics",NOT FOUND,,
EvolveMKD,Marketing,716505,"Ad targeting, campaign optimization  ",NOT FOUND,,
MercadoLibre,Ecommerce,331817,"Recommendation engine, inventory optimization",MELI,482000000.0,987000000.0
MDOS Consulting Inc,Consulting  ,731076,"Data analytics, process optimization",AABA,,
Shutter and Sound Films,Media Production,552072,"Content recommendation, optimization",AIV,75726000.0,-166196000.0
Wayfair,Ecommerce  ,126868,"Recommendation engine, inventory optimization",W,-1331000000.0,-738000000.0
Pn Automation,Manufacturing,223764,"Predictive maintenance, process optimization  ",BRKS,,
Sierra Nevada Hamburguesas y Malteadas,Restaurants  ,437085,"Demand forecasting, customer analytics",AVAL,2482885000000.0,739003000000.0
Equium Group,Consulting,926965,"Data analytics, process optimization  ",AAL,127000000.0,822000000.0
Copperleaf,Technology,1167480,Asset investment optimization,NOT FOUND,,
MaxSold,Ecommerce  ,667280,Inventory liquidation optimization,NOT FOUND,,
BBM LOGÍSTICA,Logistics  ,448767,"Fleet routing optimization, demand forecasting",NOT FOUND,,
New Relic,Technology,6547011,Application performance monitoring,NEWR,,
the telos institute,Consulting  ,922237,"Data analytics, process optimization",BDCL,,
RTI,Technology,5252183,"Connectivity optimization, predictive analytics  ",BXP,848947000.0,190215000.0
365 Retail Markets,Retail Tech  ,545121,"Inventory optimization, demand forecasting",ADRD,,
MyJobHelper.com,HR Tech  ,522012,Recruiting process automation,AAMC,,
Zenius Corporation,Education Tech,134341,"Content recommendation, student evaluation  ",AAME,1525000.0,
Hayden Outdoors,Retail  ,920929,"Inventory optimization, demand forecasting ",NOT FOUND,,
RedTeam Software,Technology,6459529,"Sales process optimization, predictive analytics",AMSWA,,
Gunderson Direct,Advertising  ,648440,"Ad targeting, campaign optimization",ISDR,1934000.0,766000.0
Daitan Group,Technology,1443380,"Process automation, predictive analytics",AAL,127000000.0,822000000.0
Facebook,Technology  ,202203,"Content recommendation, ad targeting",FB,,
Copy & Art Advertising,Advertising  ,947629,"Ad targeting, campaign optimization",NOT FOUND,,
Righteous Gelato,Food,709394,"Demand forecasting, supply chain optimization",NOT FOUND,,
VELOX Media,Advertising  ,930182,"Ad targeting, campaign optimization ",BATRA,-34172000.0,-125294000.0
Pearce Services,Consulting,168786,"Data analytics, process optimization",ADSW,,
AgileEngine,Technology  ,794875,"Process automation, predictive analytics",NOT FOUND,,
BrD Brasil Distressed,Financial Services,830010,"Investment analytics, portfolio optimization",BSBR,14287093000.0,9449313000.0
KnightsbridgeFX.com,Financial Services,409848,"Investment analytics, personalized recommendations",AAMC,,
ServiceNow,Technology  ,420351,"IT process automation, predictive analytics",NOW,325000000.0,1731000000.0
QUICK HELP,Consulting  ,233007,"Data analytics, process optimization ",NOT FOUND,,
Dig insights,Consulting,624672,"Data analytics, process optimization",NOT FOUND,,
Griaule,Technology,1140627,"Biometric recognition, predictive analytics  ",NOT FOUND,,
Nutanix,Technology  ,263413,"Infrastructure optimization, predictive analytics",NTNX,-798946000.0,-254560000.0
ATCS,Consulting  ,338019,"Data analytics, process optimization",NOT FOUND,,
M.I.T. Consulting,Consulting,690896,"Data analytics, process optimization",AAP,464402000.0,29735000.0
TDK Technologies,Technology  ,810615,"Process automation, predictive analytics",A,1254000000.0,1240000000.0
Buysoft,Technology  ,385438,"Procurement optimization, predictive analytics",NOT FOUND,,
Denny Cherry & Associates Consulting,Consulting,548474,"Data analytics, predictive analytics",DENN,74712000.0,19945000.0
PPT Consulting,Consulting,269073,"Data analytics, process optimization",HURN,75552000.0,62479000.0
SandTech Solutions,Consulting  ,956330,"Data analytics, process optimization",ADES,,
Yext,Advertising Tech,109336,"Ad targeting, business profile optimization  ",YEXT,-93259000.0,-65938000.0
Pluralsight,Education Tech  ,636034,"Content recommendation, skills analysis",PS,,
City Brew Tours,Tourism  ,318253,"Demand forecasting, customer analytics",BREW,,
Canada Goose Holdings,Apparel  ,332249,"Demand forecasting, inventory optimization",GOOS,94600000.0,72700000.0
RingCentral,Technology,6906700,"Call routing optimization, predictive analytics",RNG,-879166000.0,-165240000.0
Parsonex,Technology  ,442658,"Process automation, predictive analytics",NOT FOUND,,
Vendasta,Advertising Tech,389684,"Ad targeting, business profile optimization",NOT FOUND,,
Techaxis,Technology  ,382849,"Process automation, predictive analytics",NOT FOUND,,
Napkyn Analytics,Consulting  ,584619,"Data analytics, predictive analytics  ",HMNY,,
Clear Touch,Technology,4959864,Education content optimization ,CCO,-96604000.0,-310922000.0
Cabelauto Condutores Elétricos,Manufacturing  ,105101,"Predictive maintenance, process optimization",NOT FOUND,,
Domo,Technology,2619464,"Data analytics, predictive analytics  ",DOMO,-102111000.0,-105551000.0
AMERICA ENERGIA SA,Energy  ,211638,"Equipment monitoring, predictive maintenance",ACIU,-70753000.0,-54233000.0
Wayne Contracting,Construction,410160,"Project planning, predictive analytics ",NOT FOUND,,
Chef Burger,Restaurants  ,471695,"Demand forecasting, customer analytics",NOT FOUND,,
Crimson Agility,Technology,6389310,"Process automation, predictive analytics",NOT FOUND,,
Helcim,Financial Services  ,762637,"Fraud detection, loan underwriting automation",NOT FOUND,,
Regional Centers Holding Group,Real Estate  ,421088,"Property valuation, investment optimization",AEL,,
Netflix,Media  ,253175,"Content recommendation, customer analytics",NFLX,4491924000.0,5407990000.0
Moove It,Technology,3509313,"Process automation, predictive analytics  ",ITP,-16571308.0,-9946035.0
Giatec,Construction Tech  ,696851,"Material analysis, project optimization",NOT FOUND,,
Fulcrum Digital,Advertising  ,968108,"Ad targeting, campaign optimization",DLR,377684000.0,948838000.0
Health Company,Healthcare,339388,"Diagnostics optimization, precision medicine  ",ACHC,273139000.0,-21667000.0
CloudOps,Technology  ,230012,"Infrastructure optimization, predictive analytics",NOT FOUND,,
Operando Medicos & Quirurgicos,Healthcare,476629,"Care optimization, precision medicine",NOT FOUND,,
Etsy,Ecommerce  ,613549,"Recommendation engine, inventory optimization",ETSY,-694288000.0,307568000.0
Pravaler,Financial Services  ,570736,"Credit risk analysis, loan optimization",NOT FOUND,,
Blue Label Labs,Consulting,787203,"Data analytics, process optimization",APRN,,
airbnb,Travel Tech  ,743625,"Pricing optimization, demand forecasting",NOT FOUND,,
SMART,Consulting  ,536668,"Data analytics, process optimization",CUBE,291263000.0,410757000.0
Merrimak Capital Company,Financial Services,933430,"Investment analytics, portfolio optimization",AEL,,
Jeni's Splendid Ice Creams,Food  ,208622,"Demand forecasting, supply chain optimization",AAN,,
D2C Media,Advertising  ,271614,"Ad targeting, campaign optimization",BATRA,-34172000.0,-125294000.0
ThinkNow,Consulting  ,545554,"Data analytics, predictive analytics",NOT FOUND,,
Atlantic Petroleum & Mineral Resources,Energy,887708,"Exploration optimization, predictive maintenance",AMR,1448545000.0,721956000.0
Bandwave Systems**,Technology  ,309060,"Network optimization, predictive analytics",ADS,,
Maantic,Technology,4294121,"Workflow automation, predictive analytics",NOT FOUND,,
Isaac Operations,Consulting  ,769346,"Supply chain optimization, predictive analytics",NOT FOUND,,
Blue Wheel,Transportation  ,955132,"Route optimization, demand forecasting",APRN,,
Biz2Credit,Financial Services,161793,"Loan underwriting automation, fraud detection",NOT FOUND,,
Mindgrub,Technology  ,179556,"Process automation, predictive analytics",NOT FOUND,,
Vetsource,Healthcare Tech,794951,"Supply chain optimization, precision medicine",ES,1404875000.0,-442240000.0
MB FILM,Media Production  ,319802,"Content recommendation, workflow optimization",MBFI,,
AMC Bridge,Consulting  ,389080,"Data analytics, process optimization",AMC,-973600000.0,-396600000.0
Atlas MedStaff,Healthcare,415008,Healthcare staffing optimization,AAWW,,
TopRight,Healthcare Tech  ,129411,Patient care optimization,NOT FOUND,,
NextHome,Real Estate  ,852743,"Property valuation, client matching",NOT FOUND,,
Performive,Advertising Tech  ,544313,"Ad targeting, campaign optimization",NOT FOUND,,
EMAE,Consulting,554307,"Data analytics, process optimization",NOT FOUND,,
Santo Frío - Santo Verde,Manufacturing  ,887153,"Predictive maintenance, quality control automation ",NOT FOUND,,
Huss Brewing Company,Food and Beverage,210528,"Demand forecasting, supply chain optimization",ADM,4340000000.0,3483000000.0
CM Heating,Construction,361902,"Project planning, predictive maintenance",CMSS,,
Illuminas,Consulting  ,413643,"Data analytics, process optimization",NOT FOUND,,
Colmedicos SAS,Healthcare,602768,"Care optimization, precision medicine ",NOT FOUND,,
Bright Power,Energy  ,894048,Building energy optimization,AEP,2307200000.0,2208100000.0
Complete Network,Technology,1474014,"Network optimization, predictive analytics",DISH,,
LFS,Consulting  ,542270,"Data analytics, process optimization",NOT FOUND,,
CANEI Corporation,Manufacturing,916056,"Predictive maintenance, process optimization",CCF,,
vTech Solution,Technology  ,185057,"Process automation, predictive analytics",CTSH,2290000000.0,2126000000.0
Waggl,HR Tech,292786,Employee engagement optimization,NOT FOUND,,
Aureus Tech Systems,Technology  ,434444,"Process automation, predictive analytics",ADS,,
DBSync,Technology,9212254,Data synchronization automation,NOT FOUND,,
Tundra Technical Solutions,Consulting,172816,"Data analytics, process optimization",BR,539100000.0,630600000.0
CCM Industria e Comercio de Produtos Descartaveis,Manufacturing,626113,"Predictive maintenance, quality control automation",BCH,1445799000000.0,1374026000000.0
Aligned Technology Solutions,Technology  ,708396,"Process automation, predictive analytics",ASX,61501545000.0,
PLAXMETAL,Manufacturing,955303,"Predictive maintenance, quality control automation ",NOT FOUND,,
Soufer,Construction  ,646282,"Project planning, predictive analytics",NOT FOUND,,
NUTRABIOTICS,Food,780834,"Product development, supply chain optimization",NOT FOUND,,
Universal Display Corporation,Technology,1117067,"Process optimization, predictive maintenance",OLED,210061000.0,203011000.0
Norada Real Estate Investments,Real Estate  ,549709,"Property valuation, investment optimization",CPI,,
Johanna Ortiz,Apparel  ,294043,"Demand forecasting, inventory optimization",NOT FOUND,,
DENTAL 83,Healthcare  ,534116,Patient care optimization,NOT FOUND,,
Rainmaker Ad Ventures,Consulting,588694,"Data analytics, predictive analytics",GSV,,
SummusGroup,Technology  ,716843,"Data labeling, predictive analytics",NOT FOUND,,
Stewardship,Financial Services,585066,"Investment analytics, portfolio optimization",SSFN,,
Country Fresh,Food  ,228461,"Demand forecasting, supply chain optimization",AAXJ,,
Network Media Group,Advertising  ,300233,"Ad targeting, campaign optimization",AEY,,
R2i,Consulting  ,732818,"Data analytics, process optimization",NOT FOUND,,
The Marquee Group,Events,494580,"Vendor matching, demand forecasting ",AAL,127000000.0,822000000.0
Synergy Settlement Services,Real Estate,845646,"Transaction automation, analytics",CCM,-489661000.0,-297658000.0
Titan Home Improvement,Construction,517967,"Project planning, predictive analytics",FBHS,,
Rev.io,Technology  ,635987,"Revenue automation, predictive analytics",REVG,15200000.0,45300000.0
AArete,Consulting  ,146380,"Data analytics, predictive analytics",NOT FOUND,,
twelveNYC,Real Estate,928385,"Property valuation, investment optimization",NOT FOUND,,
Organika Health Products,Healthcare  ,477324,"Product development, marketing optimization",CBPO,,
Criterion Systems,Technology,7613558,"Process automation, predictive analytics",ADS,,
Abby's Catering,Food Services  ,628710,"Demand forecasting, supply chain optimization",ABEV,14457900000.0,14501900000.0
Zogics,Fitness,666715,"Workout personalization, customer analytics",NOT FOUND,,
Monkhouse Law Employment Lawyers,Legal Services,498842,"Contract review automation, predictive analytics  ",NOT FOUND,,
ITI,Technology  ,654405,"Process automation, predictive analytics",AMCI,,
York Property Services,Real Estate,671445,"Property valuation, investment optimization",AMS,1328000.0,610000.0
Beam,Financial Services  ,333107,Personalized banking recommendations ,NOT FOUND,,
Grupo Roncador,Energy  ,229023,"Equipment monitoring, predictive maintenance",ASR,9986548000.0,10203713000.0
Cogent Analytics,Consulting  ,619915,"Data analytics, predictive analytics",CCOI,5146000.0,1273441000.0
Adapt2 Solutions,Consulting,952618,"Process optimization, predictive analytics",ADES,,
ClickDimensions,Technology,7176755,"Marketing automation, analytics",NOT FOUND,,
Supernus Pharmaceuticals,Healthcare  ,205199,"Drug discovery, clinical trial optimization",SUPN,60711000.0,1316000.0
Harmonic Machine,Manufacturing,193301,"Predictive maintenance, quality control automation",CVR,2867629.0,-4401584.0
QuickContractors.com,Consulting  ,480589,"Vendor matching, project management optimization",AAMC,,
StarCompliance,Consulting,422797,Regulatory compliance automation,NOT FOUND,,
RodOil,Oil and Gas  ,447544,"Exploration optimization, equipment monitoring",NOT FOUND,,
Veeam Software**,Technology,5836914,"Data protection automation, predictive analytics",AMSWA,,
UruIT,Technology  ,243496,"Process automation, predictive analytics",NOT FOUND,,
I.T. Works Recruitment,Staffing  ,183441,Candidate matching and assessment,AIRT,10928000.0,-12295000.0
Triad Components Group,Manufacturing,632792,"Predictive maintenance, quality control automation",AEY,,
Occams Advisory,Consulting  ,285150,"Risk modeling, predictive analytics",NOT FOUND,,
Eco Lips,Manufacturing,522657,"Predictive maintenance, supply chain optimization",RETO,-14629055.0,-15641735.0
Infoverity,Consulting  ,116838,"Data analytics, predictive analytics",NOT FOUND,,
Jane,Healthcare,738043,Care plan optimization,NOT FOUND,,
Binatural,Manufacturing  ,401627,"Predictive maintenance, quality control automation ",NOT FOUND,,
ADRIA Power Systems,Manufacturing,273833,"Predictive maintenance, process optimization",ADS,,
Fors Marsh Group,Consulting  ,912752,"Risk modeling, predictive analytics",AAL,127000000.0,822000000.0
Million Dollar Baby Co.,Manufacturing  ,167762,"Predictive maintenance, supply chain optimization",ASX,61501545000.0,
Gauvreau CPA,Financial Services  ,873408,"Process automation, fraud detection",NOT FOUND,,
SICOOB CREDIP,Financial Services,991278,"Credit risk analysis, loan optimization  ",NOT FOUND,,
UserTesting,Technology  ,937595,Usability testing automation ,NOT FOUND,,
EDG,Consulting,684268,"Data analytics, process optimization",EDGE,,
Buildingstars of Charlotte,Construction  ,562542,"Project planning, predictive analytics",ACH,,
Firebird AST,Technology  ,929949,"Threat detection, network optimization",NOT FOUND,,
NamSys,Consulting  ,277801,"Data analytics, predictive analytics",NOT FOUND,,
ISHIR,Consulting,980735,"Process optimization, predictive analytics  ",NOT FOUND,,
BAIRD SERVICE,Construction  ,564582,"Project planning, predictive analytics",CTWS,,
The Agency,Consulting  ,621911,"Data analytics, process optimization",AES,-546000000.0,249000000.0
Very,Ecommerce,171849,"Recommendation engine, inventory optimization",AVY,757100000.0,503000000.0
MedSpeed,Healthcare Tech  ,287682,Healthcare logistics optimization,NOT FOUND,,
Hassmann,Construction,350518,"Project planning, predictive analytics  ",NOT FOUND,,
24 Hour Home Care,Healthcare,148060,Care coordination optimization,EPC,99500000.0,114700000.0
DashThis,Technology,2545938,"Data analytics, predictive analytics",NOT FOUND,,
